Newsletter/OBP,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Error correction: Duplicate use of six code elements corrected. Subdivision categories in header re-sorted,Codes: (to correct duplicate use)Chiayi (district): TW-CYI → TW-CYQHsinchu (district): TW-HSZ → TW-HSQKaohsiung (district): TW-KHH → TW-KHQTaichung (district): TW-TXG → TW-TXQTainan (district): TW-TNN → TW-TNQTaipei (district): TW-TPE → TW-TPQ
Online BrowsingPlatform (OBP),2015-11-27,"Addition of category name for special municipality in zho; change of spelling of TW-ILA; deletion of districts TW-KHQ, TW-TNQ, TW-TPQ, TW-TXQ; addition of districts TW-KIN, TW-LIE and special municipality TW-NWT; change of subdivision category from municipalities to special municipalities for TW-TXG, TW-TNN; change of subdivision category from district to special municipality for TW-TAO; update List Source.",Subdivision added:Kinmen (district): TW-KINLienchiang (district): TW-LIENew Taipei (special municipality): TW-NWTSubdivision deleted:Kaohsiung (district): TW-KHQTainan (district): TW-TNQTaipei (district): TW-TPQTaichung (district): TW-TXQSubdivision category changed:Taoyuan (TW-TAO): district → special municipalityTainan (TW-TNN): municipality → special municipalityTaichung (TW-TXG): municipality → special municipality
Online BrowsingPlatform (OBP),2016-11-15,Change of subdivision category from municipality to city and district to county; update List Source,(each) district → county(each) municipality → city
