Newsletter,Date issued,Description of change in newsletter
Newsletter I-2,2002-05-21,Spelling correction in AE-RK
Newsletter I-3,2002-08-20,Error correction: Spelling correction in AE-AZ
Online Browsing Platform (OBP),2015-11-27,"Change of spelling of AE-AJ, AE-RK; addition of local variation of AE-FK, AE-RK, AE-UQ; update List Source"
