Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Addition of one region and one city. One spelling correction,Subdivisions added: KG-GB Bishkek KG-B Batken
Online Browsing Platform (OBP),2020-11-24,"Correction of subdivision category in kir replacing oblast with oblus; Correction of subdivision names KG-GB, KG-GO in kir; Update List Source",
