Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-8,2007-04-17,Addition of the administrative subdivisions and of their code elements,Subdivisions added: 23 districts
Newsletter II-2,2010-06-30,Update of the administrative structure and languages and update of the list source,Subdivisions added: SC-24 Les Mamelles SC-25 Roche Caiman
