Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,Addition of one city subdivision. Three spelling corrections,Subdivisions added: HR-21 Grad Zagreb
Newsletter II-3,2011-12-15,Alphabetical re-ordering.,
