Newsletter,Date issued,Description of change in newsletter
Newsletter I-5,2003-09-05,Spelling correction of CH-AI and CH-AR. New list source
Online Browsing Platform (OBP),2020-11-24,Deletion of canton CH-GR in fra; Update List Source
