Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-4,2002-12-10,Addition of one province,Subdivisions added: BI-MW Mwaro
Newsletter II-2,2010-06-30,Update of the administrative structure and of the list source,Subdivisions added: BI-BM Bujumbura Mairie BI-BL Bujumbura Rural Subdivisions deleted: BI-BJ Bujumbura
