Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter I-2,2002-05-21,Spelling corrections in accordance with the newly adopted Roman alphabet,Codes: UZ-KH Khorazm → UZ-XO Xorazm
Newsletter I-4,2002-12-10,Introduction of third subdivision category. Addition of one city. Subdivision categories in header re-sorted,Subdivisions added: UZ-TK Toshkent (city)
