Edition/Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
ISO 3166-2:2007,2007-12-13,Second edition of ISO 3166-2 (this change was not announced in a newsletter)[1],Subdivisions added: KW-MU Mubārak al Kabīr
Newsletter II-3,2011-12-15,Administrative name update and list source update.,
