Newsletter,Date issued,Description of change in newsletter,Code/Subdivision change
Newsletter II-3,2011-12-15,"Administrative re-organization, addition of local generic administrative terms, language adjustment and source list update.",Subdivisions added: 7 provinces MV-00 Alifu Dhaalu
Online BrowsingPlatform (OBP),2016-11-15,Change of spelling of MV-05,Spelling change:MV-05
Online BrowsingPlatform (OBP),2018-11-26,"Change of spelling in div of MV-00, MV-02, MV-04, MV-14, MV-17, MV-26, MV-27, MV-28; Change of spelling in eng of MV-00, MV-01, MV-02, MV-03, MV-04, MV-05, MV-07, MV-08, MV-12, MV-13, MV-14, MV-17, MV-20, MV-23, MV-24, MV-25, MV-26, MV-27, MV-28, MV-29; Addition of local variation of MV-00, MV-01, MV-02, MV-03, MV-04, MV-05, MV-07, MV-08, MV-12, MV-13, MV-14, MV-17, MV-20, MV-23, MV-24, MV-25, MV-26, MV-27, MV-28, MV-29; Change of category name from capital to city for MV-MLE; Change of category name from administrative atoll to city for MV-01; Removal of parent subdivision of MV-MLE, MV-00, MV-01, MV-02, MV-03, MV-04, MV-05, MV-07, MV-08, MV-12, MV-13, MV-14, MV-17, MV-20, MV-23, MV-24, MV-25, MV-26, MV-27, MV-28, MV-29; Deletion of provinces MV-CE, MV-NC, MV-NO, MV-SC, MV-SU, MV-UN and MV-US; Update List Source",Subdivisions deleted:MV-CE CentralMV-NC North CentralMV-NO NorthMV-SC South CentralMV-SU SouthMV-UN Upper NorthMV-US Upper SouthCategory changes:MV-MLE capital → cityMV-01 administrative atoll → citySpelling changes (dv):MV-00 Ari Atholhu Dhekunuburi → Ariatholhu DhekunuburiMV-02 Ari Atholhu Uthuruburi → Ariatholhu UthuruburiMV-04 Ari Atholhu Uthuruburi → FelidheatholhuMV-14 Ari Atholhu Uthuruburi → Nilandheatholhu UthuruburiMV-17 Nilandhe Atholhu Dhekunuburi → Nilandheatholhu DhekunuburiMV-26 Maale Atholhu → MV-27 → MaaleatholhuMV-28 Huvadhu Atholhu Dhekunuburi → Huvadhuatholhu DhekunuburiSpelling changes (en):MV-00 Alifu Dhaalu → South Ari AtollMV-01 Seenu → Addu CityMV-02 Alifu Alifu → North Ari AtollMV-03 Lhaviyani → FaadhippolhuMV-04 Vaavu → Felidhu AtollMV-05 Laamu → Felidhu AtollMV-07 Haa Alifu → North ThiladhunmathiMV-08 Thaa → KolhumaduluMV-12 Meemu → Mulaku AtollMV-13 Raa → Mulaku AtollMV-14 Faafu → North Nilandhe AtollMV-17 Dhaalu → South Nilandhe AtollMV-20 Baa → South Nilandhe AtollMV-23 Haa Dhaalu → South ThiladhunmathiMV-24 Shaviyani → North MiladhunmaduluMV-25 Noonu → South MiladhunmaduluMV-26 Kaafu → South MiladhunmaduluMV-27 Gaafu Alifu → North Huvadhu AtollMV-28 Gaafu Dhaalu → North Huvadhu AtollMV-29 Gnaviyani → FuvammulahLocal variants added:all subdivisions
